Report Date,Reported For Date,Weight Range,Head Count,Average Weight,Price Range Low,Price Range High,Weighted Average Price
6/27/2019,6/26/2019,300-399,909,370,24,47,39.17
6/27/2019,6/26/2019,400-449,"1,162",426,24,51.25,38.22
6/27/2019,6/26/2019,450-499,"1,482",475,30.91,48,39.72
6/27/2019,6/26/2019,500-549,"2,053",523,27,53,44.05
6/27/2019,6/26/2019,550/up,872,584,40.5,53,45.56
6/26/2019,6/25/2019,300-399,"1,535",374,25,48.25,39.99
6/26/2019,6/25/2019,400-449,"1,458",426,25,51.75,38.26
6/26/2019,6/25/2019,450-499,"1,790",476,25,52.5,41.06
6/26/2019,6/25/2019,500-549,"1,970",524,38.82,53.5,45.27
6/26/2019,6/25/2019,550/up,"1,223",590,33,53.5,45.1
6/25/2019,6/24/2019,300-399,813,370,25,50.5,41.05
6/25/2019,6/24/2019,400-449,"1,218",426,25,52.25,38.85
6/25/2019,6/24/2019,450-499,"1,754",474,25,49,40.8
6/25/2019,6/24/2019,500-549,"1,835",523,39.55,54,45.61
6/25/2019,6/24/2019,550/up,895,588,41.53,55,47.01
6/24/2019,6/21/2019,300-399,"1,348",370,26,50,41.43
6/24/2019,6/21/2019,400-449,"1,340",427,26,53.25,39.93
6/24/2019,6/21/2019,450-499,"1,355",472,31,54,43.22
6/24/2019,6/21/2019,500-549,"1,502",524,36.08,52.03,46.1
6/24/2019,6/21/2019,550/up,788,584,43,55,47.79
6/21/2019,6/20/2019,300-399,"1,122",370,26,50,40.17
6/21/2019,6/20/2019,400-449,"1,183",426,26,53.75,40
6/21/2019,6/20/2019,450-499,"1,684",475,32,54.5,43.5
6/21/2019,6/20/2019,500-549,"1,610",524,34.86,55.5,46.14
6/21/2019,6/20/2019,550/up,717,586,34.86,59.25,47.31
6/20/2019,6/19/2019,300-399,"1,284",367,26,50,39.9
6/20/2019,6/19/2019,400-449,"1,303",427,31.68,51,39.8
6/20/2019,6/19/2019,450-499,"1,467",475,30,55.5,43.48
6/20/2019,6/19/2019,500-549,"1,887",522,35,56.5,47.86
6/20/2019,6/19/2019,550/up,"1,002",584,44,56.5,49.46
6/19/2019,6/18/2019,300-399,928,371,27,49,41.22
6/19/2019,6/18/2019,400-449,"1,129",426,27,54.25,41.5
6/19/2019,6/18/2019,450-499,"1,545",476,32,53.75,45.03
6/19/2019,6/18/2019,500-549,"1,727",523,35,54.5,47.84
6/19/2019,6/18/2019,550/up,"1,194",585,45,56,49.39
6/18/2019,6/17/2019,300-399,"1,024",376,27,55.5,41.84
6/18/2019,6/17/2019,400-449,"1,292",426,27,56.5,41.5
6/18/2019,6/17/2019,450-499,"1,657",475,33,58,47.17
6/18/2019,6/17/2019,500-549,"1,526",523,42.62,59,49.62
6/18/2019,6/17/2019,550/up,919,590,46.24,60,50.12
6/17/2019,6/14/2019,300-399,920,372,28,52.25,43.73
6/17/2019,6/14/2019,400-449,"1,380",426,28,56.75,40.99
6/17/2019,6/14/2019,450-499,"1,507",472,28,57.5,46.6
6/17/2019,6/14/2019,500-549,"1,486",524,33,58.5,49.67
6/17/2019,6/14/2019,550/up,821,584,47.44,58.5,52.18
6/14/2019,6/13/2019,300-399,"1,042",374,32,55.5,43.78
6/14/2019,6/13/2019,400-449,"1,441",427,29,55.5,42.73
6/14/2019,6/13/2019,450-499,"1,670",473,34,55.5,46.9
6/14/2019,6/13/2019,500-549,"1,415",525,38.66,57.75,51.06
6/14/2019,6/13/2019,550/up,889,581,38.7,58.75,51.72
6/13/2019,6/12/2019,300-399,"1,236",368,30,56,44.75
6/13/2019,6/12/2019,400-449,"1,312",425,30,57.75,43.86
6/13/2019,6/12/2019,450-499,"1,559",475,30,58.5,48.42
6/13/2019,6/12/2019,500-549,"1,743",523,37,59.75,52.77
6/13/2019,6/12/2019,550/up,847,586,47.5,59.5,52.86
6/12/2019,6/11/2019,300-399,"1,131",371,30,57.5,45.24
6/12/2019,6/11/2019,400-449,"1,295",427,30,57.5,46.19
6/12/2019,6/11/2019,450-499,"1,371",475,33,59.5,49.43
6/12/2019,6/11/2019,500-549,"2,038",522,38,60.5,53.38
6/12/2019,6/11/2019,550/up,814,586,50,60.5,53.9
6/11/2019,6/10/2019,300-399,687,371,31,57.5,44.57
6/11/2019,6/10/2019,400-449,911,426,31,59.75,45.05
6/11/2019,6/10/2019,450-499,"1,223",477,31,60.5,49.58
6/11/2019,6/10/2019,500-549,"1,737",523,36,61.5,54.8
6/11/2019,6/10/2019,550/up,891,582,48.61,61.5,55.41
6/10/2019,6/7/2019,300-399,723,375,43.56,57.5,47.51
6/10/2019,6/7/2019,400-449,"1,143",425,32,57.5,44.3
6/10/2019,6/7/2019,450-499,"1,180",475,37,61.5,50.84
6/10/2019,6/7/2019,500-549,"1,298",525,35,61.25,54.3
6/10/2019,6/7/2019,550/up,867,586,51.38,59.93,55.85
6/7/2019,6/6/2019,300-399,"1,118",370,38,56.25,47
6/7/2019,6/6/2019,400-449,"1,091",426,33,61.75,46.56
6/7/2019,6/6/2019,450-499,"1,806",473,34,62.5,49.25
6/7/2019,6/6/2019,500-549,"1,900",524,39,63.5,55.09
6/7/2019,6/6/2019,550/up,983,588,53.25,63.5,57.25
6/6/2019,6/5/2019,300-399,"1,004",374,35,58,47.28
6/6/2019,6/5/2019,400-449,"1,691",426,34,58.5,46.03
6/6/2019,6/5/2019,450-499,"1,707",475,40,63,53.11
6/6/2019,6/5/2019,500-549,"1,874",524,42,64,57.02
6/6/2019,6/5/2019,550/up,619,586,54.27,64,58.14
