Report Date,Reported For Date,State Description,Head Count
6/27/2019,6/26/2019,Arkansas,87
6/27/2019,6/26/2019,Canada,"1,658"
6/27/2019,6/26/2019,Georgia,59
6/27/2019,6/26/2019,Illinois,"1,038"
6/27/2019,6/26/2019,Indiana,239
6/27/2019,6/26/2019,Iowa,"2,222"
6/27/2019,6/26/2019,Kansas,95
6/27/2019,6/26/2019,Michigan,167
6/27/2019,6/26/2019,Minnesota,984
6/27/2019,6/26/2019,Mississippi,51
6/27/2019,6/26/2019,Missouri,727
6/27/2019,6/26/2019,Nebraska,936
6/27/2019,6/26/2019,North Carolina,408
6/27/2019,6/26/2019,Ohio,263
6/27/2019,6/26/2019,Oklahoma,328
6/27/2019,6/26/2019,Pennsylvania,400
6/27/2019,6/26/2019,South Carolina,98
6/27/2019,6/26/2019,South Dakota,420
6/27/2019,6/26/2019,Texas,76
6/27/2019,6/26/2019,Virginia,81
6/27/2019,6/26/2019,Wisconsin,317
6/26/2019,6/25/2019,Arkansas,157
6/26/2019,6/25/2019,Canada,"1,701"
6/26/2019,6/25/2019,Illinois,"1,142"
6/26/2019,6/25/2019,Indiana,292
6/26/2019,6/25/2019,Iowa,"2,131"
6/26/2019,6/25/2019,Kansas,294
6/26/2019,6/25/2019,Michigan,347
6/26/2019,6/25/2019,Minnesota,"1,347"
6/26/2019,6/25/2019,Mississippi,122
6/26/2019,6/25/2019,Missouri,673
6/26/2019,6/25/2019,Nebraska,814
6/26/2019,6/25/2019,North Carolina,392
6/26/2019,6/25/2019,Ohio,263
6/26/2019,6/25/2019,Oklahoma,283
6/26/2019,6/25/2019,Pennsylvania,171
6/26/2019,6/25/2019,South Dakota,199
6/26/2019,6/25/2019,Virginia,75
6/26/2019,6/25/2019,Wisconsin,81
6/25/2019,6/24/2019,Arkansas,184
6/25/2019,6/24/2019,Canada,"1,418"
6/25/2019,6/24/2019,Illinois,"1,077"
6/25/2019,6/24/2019,Indiana,382
6/25/2019,6/24/2019,Iowa,"2,456"
6/25/2019,6/24/2019,Kansas,97
6/25/2019,6/24/2019,Michigan,94
6/25/2019,6/24/2019,Minnesota,"1,201"
6/25/2019,6/24/2019,Missouri,387
6/25/2019,6/24/2019,Nebraska,"1,193"
6/25/2019,6/24/2019,North Carolina,449
6/25/2019,6/24/2019,Ohio,71
6/25/2019,6/24/2019,Oklahoma,395
6/25/2019,6/24/2019,Pennsylvania,71
6/25/2019,6/24/2019,South Carolina,34
6/25/2019,6/24/2019,South Dakota,402
6/25/2019,6/24/2019,Texas,82
6/25/2019,6/24/2019,Wisconsin,139
6/24/2019,6/21/2019,Arkansas,272
6/24/2019,6/21/2019,Canada,"1,294"
6/24/2019,6/21/2019,Georgia,59
6/24/2019,6/21/2019,Illinois,"1,094"
6/24/2019,6/21/2019,Indiana,283
6/24/2019,6/21/2019,Iowa,"2,115"
6/24/2019,6/21/2019,Michigan,277
6/24/2019,6/21/2019,Minnesota,"1,104"
6/24/2019,6/21/2019,Missouri,275
6/24/2019,6/21/2019,Nebraska,"1,260"
6/24/2019,6/21/2019,North Carolina,396
6/24/2019,6/21/2019,Ohio,215
6/24/2019,6/21/2019,Oklahoma,428
6/24/2019,6/21/2019,Pennsylvania,117
6/24/2019,6/21/2019,South Dakota,112
6/24/2019,6/21/2019,Virginia,75
6/24/2019,6/21/2019,Wisconsin,195
6/21/2019,6/20/2019,Arkansas,187
6/21/2019,6/20/2019,Canada,"1,627"
6/21/2019,6/20/2019,Illinois,"1,159"
6/21/2019,6/20/2019,Indiana,302
6/21/2019,6/20/2019,Iowa,"1,525"
6/21/2019,6/20/2019,Kentucky,70
6/21/2019,6/20/2019,Michigan,382
6/21/2019,6/20/2019,Minnesota,983
6/21/2019,6/20/2019,Missouri,865
6/21/2019,6/20/2019,Nebraska,"1,163"
6/21/2019,6/20/2019,North Carolina,668
6/21/2019,6/20/2019,Ohio,235
6/21/2019,6/20/2019,Oklahoma,490
6/21/2019,6/20/2019,Pennsylvania,292
6/21/2019,6/20/2019,South Dakota,470
6/21/2019,6/20/2019,Virginia,81
6/21/2019,6/20/2019,Wisconsin,287
6/20/2019,6/19/2019,Arkansas,179
6/20/2019,6/19/2019,Canada,"1,520"
6/20/2019,6/19/2019,Georgia,96
6/20/2019,6/19/2019,Illinois,"1,003"
6/20/2019,6/19/2019,Indiana,202
6/20/2019,6/19/2019,Iowa,"2,063"
6/20/2019,6/19/2019,Kansas,44
6/20/2019,6/19/2019,Michigan,348
6/20/2019,6/19/2019,Minnesota,757
6/20/2019,6/19/2019,Mississippi,63
6/20/2019,6/19/2019,Missouri,924
6/20/2019,6/19/2019,Nebraska,994
6/20/2019,6/19/2019,North Carolina,493
6/20/2019,6/19/2019,Ohio,334
6/20/2019,6/19/2019,Oklahoma,480
6/20/2019,6/19/2019,Pennsylvania,195
6/20/2019,6/19/2019,South Dakota,584
6/20/2019,6/19/2019,Texas,85
6/20/2019,6/19/2019,Virginia,69
6/20/2019,6/19/2019,Wisconsin,168
6/19/2019,6/18/2019,Arkansas,159
6/19/2019,6/18/2019,Canada,"1,625"
6/19/2019,6/18/2019,Illinois,"1,143"
6/19/2019,6/18/2019,Indiana,327
6/19/2019,6/18/2019,Iowa,"2,252"
6/19/2019,6/18/2019,Kansas,158
6/19/2019,6/18/2019,Michigan,87
6/19/2019,6/18/2019,Minnesota,"1,182"
6/19/2019,6/18/2019,Mississippi,113
6/19/2019,6/18/2019,Missouri,591
6/19/2019,6/18/2019,Nebraska,541
6/19/2019,6/18/2019,North Carolina,702
6/19/2019,6/18/2019,Ohio,160
6/19/2019,6/18/2019,Oklahoma,271
6/19/2019,6/18/2019,Pennsylvania,176
6/19/2019,6/18/2019,South Dakota,76
6/19/2019,6/18/2019,Virginia,152
6/19/2019,6/18/2019,Wisconsin,281
6/18/2019,6/17/2019,Canada,"1,636"
6/18/2019,6/17/2019,Illinois,651
6/18/2019,6/17/2019,Indiana,172
6/18/2019,6/17/2019,Iowa,"2,240"
6/18/2019,6/17/2019,Kansas,87
6/18/2019,6/17/2019,Michigan,180
6/18/2019,6/17/2019,Minnesota,"1,296"
6/18/2019,6/17/2019,Missouri,724
6/18/2019,6/17/2019,Nebraska,790
6/18/2019,6/17/2019,North Carolina,357
6/18/2019,6/17/2019,Ohio,67
6/18/2019,6/17/2019,Oklahoma,421
6/18/2019,6/17/2019,South Dakota,394
6/18/2019,6/17/2019,Texas,83
6/18/2019,6/17/2019,Wisconsin,144
6/17/2019,6/14/2019,Arkansas,264
6/17/2019,6/14/2019,Canada,"1,264"
6/17/2019,6/14/2019,Georgia,38
6/17/2019,6/14/2019,Illinois,958
6/17/2019,6/14/2019,Indiana,146
6/17/2019,6/14/2019,Iowa,"2,512"
6/17/2019,6/14/2019,Michigan,302
6/17/2019,6/14/2019,Minnesota,937
6/17/2019,6/14/2019,Missouri,673
6/17/2019,6/14/2019,Nebraska,711
6/17/2019,6/14/2019,North Carolina,548
6/17/2019,6/14/2019,Ohio,285
6/17/2019,6/14/2019,Oklahoma,543
6/17/2019,6/14/2019,Pennsylvania,105
6/17/2019,6/14/2019,South Carolina,93
6/17/2019,6/14/2019,South Dakota,173
6/17/2019,6/14/2019,Wisconsin,132
6/14/2019,6/13/2019,Arkansas,253
6/14/2019,6/13/2019,Canada,"1,379"
6/14/2019,6/13/2019,Illinois,"1,392"
6/14/2019,6/13/2019,Indiana,334
6/14/2019,6/13/2019,Iowa,"2,030"
6/14/2019,6/13/2019,Kansas,99
6/14/2019,6/13/2019,Kentucky,98
6/14/2019,6/13/2019,Michigan,137
6/14/2019,6/13/2019,Minnesota,961
6/14/2019,6/13/2019,Missouri,"1,077"
6/14/2019,6/13/2019,Nebraska,871
6/14/2019,6/13/2019,North Carolina,812
6/14/2019,6/13/2019,Ohio,90
6/14/2019,6/13/2019,Oklahoma,373
6/14/2019,6/13/2019,Pennsylvania,283
6/14/2019,6/13/2019,South Carolina,87
6/14/2019,6/13/2019,South Dakota,137
6/14/2019,6/13/2019,Texas,76
6/14/2019,6/13/2019,Virginia,80
6/14/2019,6/13/2019,Wisconsin,183
6/13/2019,6/12/2019,Arkansas,335
6/13/2019,6/12/2019,Canada,"1,615"
6/13/2019,6/12/2019,Illinois,890
6/13/2019,6/12/2019,Indiana,284
6/13/2019,6/12/2019,Iowa,"2,015"
6/13/2019,6/12/2019,Michigan,80
6/13/2019,6/12/2019,Minnesota,928
6/13/2019,6/12/2019,Mississippi,142
6/13/2019,6/12/2019,Missouri,"1,280"
6/13/2019,6/12/2019,Nebraska,"1,099"
6/13/2019,6/12/2019,North Carolina,428
6/13/2019,6/12/2019,Ohio,286
6/13/2019,6/12/2019,Oklahoma,553
6/13/2019,6/12/2019,Pennsylvania,308
6/13/2019,6/12/2019,South Carolina,101
6/13/2019,6/12/2019,South Dakota,321
6/13/2019,6/12/2019,Virginia,161
6/13/2019,6/12/2019,Wisconsin,185
6/12/2019,6/11/2019,Arkansas,274
6/12/2019,6/11/2019,Canada,"1,402"
6/12/2019,6/11/2019,Illinois,"1,041"
6/12/2019,6/11/2019,Indiana,281
6/12/2019,6/11/2019,Iowa,"2,319"
6/12/2019,6/11/2019,Kansas,95
6/12/2019,6/11/2019,Michigan,88
6/12/2019,6/11/2019,Minnesota,967
6/12/2019,6/11/2019,Mississippi,130
6/12/2019,6/11/2019,Missouri,862
6/12/2019,6/11/2019,Nebraska,788
6/12/2019,6/11/2019,North Carolina,774
6/12/2019,6/11/2019,Ohio,187
6/12/2019,6/11/2019,Oklahoma,324
6/12/2019,6/11/2019,Pennsylvania,164
6/12/2019,6/11/2019,South Dakota,224
6/12/2019,6/11/2019,Wisconsin,238
6/11/2019,6/10/2019,Canada,"1,699"
6/11/2019,6/10/2019,Illinois,957
6/11/2019,6/10/2019,Indiana,90
6/11/2019,6/10/2019,Iowa,"1,960"
6/11/2019,6/10/2019,Kansas,1
6/11/2019,6/10/2019,Michigan,185
6/11/2019,6/10/2019,Minnesota,"1,176"
6/11/2019,6/10/2019,Missouri,268
6/11/2019,6/10/2019,Nebraska,447
6/11/2019,6/10/2019,North Carolina,386
6/11/2019,6/10/2019,Ohio,165
6/11/2019,6/10/2019,Oklahoma,419
6/11/2019,6/10/2019,South Dakota,344
6/11/2019,6/10/2019,Wisconsin,74
6/10/2019,6/7/2019,Arkansas,242
6/10/2019,6/7/2019,Canada,"1,175"
6/10/2019,6/7/2019,Georgia,58
6/10/2019,6/7/2019,Illinois,869
6/10/2019,6/7/2019,Indiana,217
6/10/2019,6/7/2019,Iowa,"2,119"
6/10/2019,6/7/2019,Michigan,192
6/10/2019,6/7/2019,Minnesota,"1,106"
6/10/2019,6/7/2019,Missouri,284
6/10/2019,6/7/2019,Nebraska,"1,036"
6/10/2019,6/7/2019,North Carolina,560
6/10/2019,6/7/2019,Ohio,163
6/10/2019,6/7/2019,Oklahoma,485
6/10/2019,6/7/2019,Pennsylvania,104
6/10/2019,6/7/2019,South Carolina,75
6/10/2019,6/7/2019,Virginia,63
6/10/2019,6/7/2019,Wisconsin,102
6/7/2019,6/6/2019,Arkansas,186
6/7/2019,6/6/2019,Canada,"1,239"
6/7/2019,6/6/2019,Illinois,983
6/7/2019,6/6/2019,Indiana,209
6/7/2019,6/6/2019,Iowa,"2,201"
6/7/2019,6/6/2019,Kentucky,40
6/7/2019,6/6/2019,Michigan,225
6/7/2019,6/6/2019,Minnesota,997
6/7/2019,6/6/2019,Missouri,682
6/7/2019,6/6/2019,Nebraska,"1,294"
6/7/2019,6/6/2019,North Carolina,777
6/7/2019,6/6/2019,Ohio,600
6/7/2019,6/6/2019,Oklahoma,377
6/7/2019,6/6/2019,Pennsylvania,216
6/7/2019,6/6/2019,South Carolina,107
6/7/2019,6/6/2019,South Dakota,293
6/7/2019,6/6/2019,Virginia,94
6/7/2019,6/6/2019,Wisconsin,284
6/6/2019,6/5/2019,Arkansas,91
6/6/2019,6/5/2019,Canada,"1,803"
6/6/2019,6/5/2019,Georgia,63
6/6/2019,6/5/2019,Illinois,"1,001"
6/6/2019,6/5/2019,Indiana,219
6/6/2019,6/5/2019,Iowa,"2,056"
6/6/2019,6/5/2019,Michigan,183
6/6/2019,6/5/2019,Minnesota,"1,165"
6/6/2019,6/5/2019,Mississippi,137
6/6/2019,6/5/2019,Missouri,594
6/6/2019,6/5/2019,Nebraska,"1,127"
6/6/2019,6/5/2019,North Carolina,592
6/6/2019,6/5/2019,Ohio,408
6/6/2019,6/5/2019,Oklahoma,408
6/6/2019,6/5/2019,Pennsylvania,207
6/6/2019,6/5/2019,South Dakota,484
6/6/2019,6/5/2019,Virginia,159
6/6/2019,6/5/2019,Wisconsin,42
6/5/2019,6/4/2019,Arkansas,187
6/5/2019,6/4/2019,Canada,"1,504"
6/5/2019,6/4/2019,Illinois,"1,089"
6/5/2019,6/4/2019,Indiana,93
6/5/2019,6/4/2019,Iowa,"2,229"
6/5/2019,6/4/2019,Kansas,256
6/5/2019,6/4/2019,Michigan,91
6/5/2019,6/4/2019,Minnesota,884
6/5/2019,6/4/2019,Mississippi,132
6/5/2019,6/4/2019,Missouri,915
6/5/2019,6/4/2019,Nebraska,927
6/5/2019,6/4/2019,North Carolina,930
6/5/2019,6/4/2019,Ohio,450
6/5/2019,6/4/2019,Oklahoma,343
6/5/2019,6/4/2019,Pennsylvania,181
6/5/2019,6/4/2019,South Carolina,98
6/5/2019,6/4/2019,Virginia,78
6/5/2019,6/4/2019,Wisconsin,405
6/4/2019,6/3/2019,Canada,"2,002"
6/4/2019,6/3/2019,Illinois,984
6/4/2019,6/3/2019,Indiana,310
6/4/2019,6/3/2019,Iowa,"1,847"
6/4/2019,6/3/2019,Kansas,108
6/4/2019,6/3/2019,Michigan,225
6/4/2019,6/3/2019,Minnesota,"1,141"
6/4/2019,6/3/2019,Missouri,85
6/4/2019,6/3/2019,Nebraska,663
6/4/2019,6/3/2019,North Carolina,395
6/4/2019,6/3/2019,Ohio,56
6/4/2019,6/3/2019,Oklahoma,438
6/4/2019,6/3/2019,South Dakota,243
6/4/2019,6/3/2019,Texas,87
6/4/2019,6/3/2019,Wisconsin,170
6/3/2019,5/31/2019,Canada,"1,177"
6/3/2019,5/31/2019,Illinois,"1,308"
6/3/2019,5/31/2019,Indiana,160
6/3/2019,5/31/2019,Iowa,"2,568"
6/3/2019,5/31/2019,Kansas,4
6/3/2019,5/31/2019,Kentucky,44
6/3/2019,5/31/2019,Michigan,296
6/3/2019,5/31/2019,Minnesota,808
6/3/2019,5/31/2019,Missouri,369
6/3/2019,5/31/2019,Nebraska,"1,199"
6/3/2019,5/31/2019,North Carolina,783
6/3/2019,5/31/2019,Ohio,222
6/3/2019,5/31/2019,Oklahoma,453
6/3/2019,5/31/2019,Pennsylvania,116
6/3/2019,5/31/2019,South Carolina,84
6/3/2019,5/31/2019,South Dakota,47
6/3/2019,5/31/2019,Wisconsin,66
5/31/2019,5/30/2019,Arkansas,8
5/31/2019,5/30/2019,Canada,"1,641"
5/31/2019,5/30/2019,Illinois,"1,031"
5/31/2019,5/30/2019,Indiana,295
5/31/2019,5/30/2019,Iowa,"2,122"
5/31/2019,5/30/2019,Kentucky,65
5/31/2019,5/30/2019,Michigan,144
5/31/2019,5/30/2019,Minnesota,"1,285"
5/31/2019,5/30/2019,Missouri,489
5/31/2019,5/30/2019,Nebraska,"1,525"
5/31/2019,5/30/2019,North Carolina,833
5/31/2019,5/30/2019,Ohio,331
5/31/2019,5/30/2019,Oklahoma,284
5/31/2019,5/30/2019,Pennsylvania,402
5/31/2019,5/30/2019,South Carolina,98
5/31/2019,5/30/2019,South Dakota,88
5/31/2019,5/30/2019,Texas,75
5/31/2019,5/30/2019,Wisconsin,364
5/30/2019,5/29/2019,Arkansas,252
5/30/2019,5/29/2019,Canada,"1,576"
5/30/2019,5/29/2019,Georgia,66
5/30/2019,5/29/2019,Illinois,"1,120"
5/30/2019,5/29/2019,Indiana,281
5/30/2019,5/29/2019,Iowa,"1,806"
5/30/2019,5/29/2019,Kentucky,68
5/30/2019,5/29/2019,Michigan,135
5/30/2019,5/29/2019,Minnesota,943
5/30/2019,5/29/2019,Mississippi,62
5/30/2019,5/29/2019,Missouri,758
5/30/2019,5/29/2019,Nebraska,"1,166"
5/30/2019,5/29/2019,North Carolina,642
5/30/2019,5/29/2019,Ohio,406
5/30/2019,5/29/2019,Oklahoma,385
